,vehicle,year,msrp,acceleration,mpg,class
0,Prius (1st Gen),1997,24509.74,7.46,41.26,Compact
1,Tino,2000,35354.97,8.2,54.1,Compact
2,Prius (2nd Gen),2000,26832.25,7.97,45.23,Compact
3,Insight,2000,18936.41,9.52,53.0,Two Seater
4,Civic (1st Gen),2001,25833.38,7.04,47.04,Compact
5,Insight,2001,19036.71,9.52,53.0,Two Seater
6,Insight,2002,19137.01,9.71,53.0,Two Seater
7,Alphard,2003,38084.77,8.33,40.46,Minivan
8,Insight,2003,19137.01,9.52,53.0,Two Seater
9,Civic,2003,14071.92,8.62,41.0,Compact
10,Escape,2004,36676.1,10.32,31.99,SUV
11,Insight,2004,19237.31,9.35,52.0,Two Seater
12,Prius,2004,20355.64,9.9,46.0,Midsize
13,Silverado 15 2WD,2004,30089.64,9.09,17.0,Pickup Truck
14,Lexus RX400h,2005,58521.14,12.76,28.23,SUV
15,Civic (2nd Gen),2005,26354.44,7.63,39.99,Compact
16,Highlander,2005,29186.21,12.76,29.4,SUV
17,Insight,2005,19387.76,9.71,52.0,Two Seater
18,Civic,2005,18236.33,8.26,41.0,Compact
19,Escape 2WD,2005,19322.56,9.52,29.0,SUV
20,Accord,2005,16343.69,14.93,28.0,Midsize
21,Silverado 15 2WD,2005,32647.26,11.11,17.0,Pickup Truck
22,Mercury Mariner,2006,34772.4,8.98,32.93,SUV
23,Camry,2006,29853.25,11.28,33.64,Midsize
24,Lexus GS450h,2006,64547.56,18.65,33.4,Midsize
25,Estima,2006,36012.7,9.26,47.04,Minivan
26,Altima,2006,29524.75,13.29,32.93,Midsize
27,Chevrolet Tahoe,2007,42924.35,10.91,22.35,SUV
28,Kluger,2007,46229.48,12.76,25.87,SUV
29,Lexus LS600h/hL,2007,118543.6,17.54,21.0,Midsize
30,Tribute,2007,24823.83,11.28,31.75,SUV
31,GMC Yukon,2007,57094.81,12.28,21.78,SUV
32,Aura,2007,22110.87,10.87,27.0,Midsize
33,Vue,2007,22938.33,10.75,26.0,SUV
34,Silverado 15 2WD,2007,34653.23,11.49,17.0,Pickup Truck
35,Crown,2008,62290.38,8.7,37.16,Midsize
36,Cadillac Escalade,2008,78932.81,9.09,22.35,SUV
37,F3DM,2008,23744.06,9.52,30.11,Midsize
38,Altima,2008,18675.63,13.7,34.0,Midsize
39,A5 BSG,2009,11849.43,7.87,35.28,Midsize
40,Lexus RX450h,2009,46233.36,13.47,31.99,SUV
41,ML450 Blue HV,2009,60519.83,12.6,23.99,SUV
42,Prius (3rd Gen),2009,24641.18,9.6,47.98,Compact
43,S400 Long,2009,96208.93,13.89,26.34,Large
44,Mercury Milan,2009,30522.57,11.55,40.69,Midsize
45,Lexus HS250h,2009,38478.15,11.55,54.1,Compact
46,Avante/Elantra LPI,2009,21872.71,10.21,41.87,Compact
47,ActiveHybrid X6,2009,97237.9,17.96,18.82,SUV
48,SAI,2009,39172.44,11.55,54.1,Midsize
49,Malibu,2009,24768.79,9.09,29.0,Midsize
50,Vue,2009,26408.67,13.7,28.0,SUV
51,Aspen HEV,2009,44903.77,13.51,21.0,SUV
52,Durango,2009,41033.24,8.33,21.0,SUV
53,Auris HSD,2010,35787.29,8.85,68.21,Compact
54,CR-Z,2010,21435.54,9.24,37.0,Two Seater
55,F3DM PHEV,2010,23124.59,9.24,30.15,Midsize
56,Touareg,2010,64198.95,15.38,28.7,SUV
57,Audi Q5,2010,37510.86,14.08,33.64,SUV
58,Jeep Patriot,2010,17045.06,12.05,29.4,SUV
59,Besturn B50  ,2010,14586.61,7.14,31.28,Midsize
60,ActiveHybrid 7,2010,104300.43,20.41,22.11,Large
61,Lincoln MKZ,2010,37036.64,11.15,37.63,Midsize
62,Fit/Jazz,2010,16911.85,8.26,30.0,Compact
63,Sonata,2010,28287.66,14.7,37.0,Midsize
64,Cayenne S,2010,73183.47,14.71,26.11,SUV
65,Insight,2010,19859.16,9.17,41.0,Compact
66,Fuga Infiniti M35H,2010,70157.02,18.65,33.64,Midsize
67,Chevrolet Volt,2010,42924.35,10.78,35.0,Compact
68,Tribute 4WD,2010,27968.32,12.35,29.0,SUV
69,Fusion FWD,2010,28033.51,11.49,39.0,Midsize
70,HS 250h,2010,34753.53,11.76,35.0,Compact
71,Mariner FWD,2010,30194.95,11.63,32.0,SUV
72,RX 450h,2010,42812.54,13.89,30.0,SUV
